,id,segment_id,time_slot,visit_count
814,1261,41,13104907200000000,1
815,1262,48,13104993600000000,1
816,1263,56,13104993600000000,1
817,1264,5,13104993600000000,3
818,1266,213,13104993600000000,2
819,1268,41,13104993600000000,2
820,1269,261,13104993600000000,1
821,1270,179,13105080000000000,1
822,1271,5,13105080000000000,1
823,1274,213,13105080000000000,3
824,1275,88,13105080000000000,7
825,1278,295,13105080000000000,10
826,1279,213,13105166400000000,2
827,1280,48,13105166400000000,7
828,1281,46,13105166400000000,2
829,1282,5,13105166400000000,1
830,1283,56,13105166400000000,1
831,1284,295,13105166400000000,8
832,1285,261,13105166400000000,1
833,1286,48,13105252800000000,13
834,1287,312,13105252800000000,3
835,1288,5,13105252800000000,2
836,1290,56,13105252800000000,1
837,1293,41,13105252800000000,1
838,1294,1,13105339200000000,1
839,1295,48,13105339200000000,4
840,1297,41,13105339200000000,2
841,1299,48,13105425600000000,10
842,1300,316,13105425600000000,1
843,1301,5,13105425600000000,4
844,1304,269,13105425600000000,1
845,1305,213,13105425600000000,1
846,1306,161,13105425600000000,1
847,1308,128,13105425600000000,1
848,1309,1,13105425600000000,1
849,1311,61,13105425600000000,1
850,1312,1,13105512000000000,5
851,1313,56,13105512000000000,12
852,1314,5,13105512000000000,2
853,1315,135,13105512000000000,2
854,1316,128,13105512000000000,2
855,1318,46,13105512000000000,1
856,1319,213,13105512000000000,2
857,1320,48,13105512000000000,3
858,1321,295,13105512000000000,8
859,1322,45,13105512000000000,1
860,1323,319,13105512000000000,1
861,1325,119,13105598400000000,3
862,1326,1,13105598400000000,6
863,1328,45,13105598400000000,1
864,1329,48,13105598400000000,7
865,1332,41,13105598400000000,1
866,1333,135,13105598400000000,3
867,1334,56,13105598400000000,14
868,1335,61,13105598400000000,1
869,1336,128,13105598400000000,1
870,1337,1,13105684800000000,2
871,1338,46,13105684800000000,1
872,1339,48,13105684800000000,6
873,1340,5,13105684800000000,1
874,1341,56,13105684800000000,6
875,1342,135,13105684800000000,4
876,1343,128,13105684800000000,2
877,1344,113,13105684800000000,1
878,1346,41,13105684800000000,1
879,1348,295,13105684800000000,6
880,1350,5,13105771200000000,1
881,1351,1,13105771200000000,3
882,1352,48,13105771200000000,5
883,1353,56,13105771200000000,2
884,1354,213,13105771200000000,2
885,1355,41,13105771200000000,2
886,1357,29,13105771200000000,1
887,1358,46,13105771200000000,1
888,1359,303,13105857600000000,2
889,1360,41,13105857600000000,3
890,1361,48,13105857600000000,2
891,1363,295,13105857600000000,6
892,1364,322,13105857600000000,1
893,1365,5,13105857600000000,1
894,1366,128,13105857600000000,1
895,1367,1,13105857600000000,1
896,1368,41,13105944000000000,2
897,1369,46,13105944000000000,1
898,1370,1,13106116800000000,1
899,1371,213,13106116800000000,1
900,1372,323,13106116800000000,1
901,1374,48,13106116800000000,3
902,1375,41,13106116800000000,4
903,1376,213,13106203200000000,1
904,1377,48,13106203200000000,21
905,1378,41,13106203200000000,6
906,1379,15,13106203200000000,1
907,1380,5,13106203200000000,6
908,1381,46,13106203200000000,1
909,1382,1,13106203200000000,2
910,1383,56,13106203200000000,1
911,1384,135,13106203200000000,1
912,1387,295,13106203200000000,6
913,1388,1,13106289600000000,3
914,1389,213,13106289600000000,1
915,1390,48,13106289600000000,1
916,1391,41,13106289600000000,3
917,1392,5,13106289600000000,1
918,1393,295,13106289600000000,3
919,1394,213,13106376000000000,1
920,1395,48,13106376000000000,9
921,1396,322,13106376000000000,2
922,1397,46,13106376000000000,1
923,1398,1,13106376000000000,2
924,1400,261,13106376000000000,1
925,1401,41,13106462400000000,8
926,1402,48,13106462400000000,9
927,1404,1,13106462400000000,1
928,1405,119,13106462400000000,3
929,1406,50,13106462400000000,4
930,1407,261,13106462400000000,1
931,1408,295,13106548800000000,19
932,1409,56,13106548800000000,1
933,1410,41,13106548800000000,1
934,1411,46,13106548800000000,2
935,1412,48,13106548800000000,3
936,1413,1,13106548800000000,1
937,1414,135,13106635200000000,3
938,1415,128,13106635200000000,1
939,1416,327,13106635200000000,37
940,1417,48,13106635200000000,3
941,1418,5,13106635200000000,5
942,1419,213,13106635200000000,1
943,1420,46,13106635200000000,1
944,1421,56,13106635200000000,1
945,1422,29,13106635200000000,1
946,1423,41,13106635200000000,3
947,1424,207,13106635200000000,1
948,1425,48,13106721600000000,4
949,1426,77,13106721600000000,13
950,1427,327,13106721600000000,2
951,1428,5,13106721600000000,9
952,1429,56,13106721600000000,1
953,1430,1,13106721600000000,2
954,1431,213,13106721600000000,1
955,1433,295,13106721600000000,6
956,1434,207,13106721600000000,1
957,1435,46,13106721600000000,1
958,1436,213,13106808000000000,2
959,1437,1,13106808000000000,4
960,1438,207,13106808000000000,2
961,1439,46,13106808000000000,2
962,1440,48,13106808000000000,2
963,1441,5,13106808000000000,32
964,1442,56,13106808000000000,1
965,1443,128,13106808000000000,1
966,1444,172,13106808000000000,1
967,1445,56,13106894400000000,1
968,1446,234,13106894400000000,5
969,1448,5,13106894400000000,13
970,1449,330,13106894400000000,1
971,1450,322,13106894400000000,2
972,1451,1,13106894400000000,1
973,1453,48,13106894400000000,3
974,1454,213,13106894400000000,1
975,1455,295,13106894400000000,9
976,1456,207,13106980800000000,1
977,1457,48,13106980800000000,3
978,1458,135,13106980800000000,1
979,1459,213,13106980800000000,2
980,1460,179,13106980800000000,2
981,1461,41,13106980800000000,1
982,1463,1,13106980800000000,3
983,1464,5,13106980800000000,4
984,1466,46,13106980800000000,1
985,1467,48,13107067200000000,12
986,1468,41,13107067200000000,7
987,1469,46,13107067200000000,4
988,1470,207,13107067200000000,6
989,1471,1,13107067200000000,1
990,1472,29,13107067200000000,2
991,1473,261,13107067200000000,2
992,1474,48,13107153600000000,3
993,1475,41,13107153600000000,3
994,1476,50,13107153600000000,2
995,1477,295,13107240000000000,15
996,1478,1,13107240000000000,5
997,1479,179,13107240000000000,1
998,1480,5,13107240000000000,13
999,1481,56,13107240000000000,6
1000,1482,213,13107240000000000,2
1001,1484,48,13107240000000000,6
1002,1485,234,13107240000000000,3
1003,1486,322,13107240000000000,1
1004,1487,45,13107240000000000,1
1005,1488,41,13107240000000000,1
1006,1490,207,13107240000000000,1
1007,1491,45,13107326400000000,1
1008,1492,56,13107326400000000,3
1009,1493,5,13107326400000000,2
1010,1494,179,13107326400000000,1
1011,1495,48,13107326400000000,1
1012,1496,234,13107326400000000,3
